Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
Lycée Mézeray Gabriel,Argentan,61.0,True,Autre formation,Spécialité : Conception matérielle et immatérielle d'objets pour des espaces de vie
Lycée Jeanne D'Arc,Rouen,76.0,True,Autre formation,"Spécialité : Éditions multi-supports fixes, animées et interactives"
Lycée Jeanne D'Arc,Rouen,76.0,True,Autre formation,"Spécialité : Identités visuelles : textes, images fixes, animées, interactives"
Ecole technique privée EPSECO,Valence,26.0,True,BTS,Métiers de l'esthétique-cosmétique-parfumerie
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LETTRES CLASSIQUES MAJEURE/mineure Histoire
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,HISTOIRE MAJEURE/mineure Géographie
L'École de Design Nantes Atlantique,Nantes,44.0,True,Autre formation,Spécialité : Design d'interfaces et médias numériques
Lycée Léonard De Vinci,Antibes,6.0,True,Autre formation,Spécialité : Conception et scénographie d'espaces et d'environnements de médiation
GOBELINS PARIS GAMBETTA,Paris 13e  Arrondissement,75.0,True,Autre formation,Spécialité : Design éditorial
GOBELINS PARIS GAMBETTA,Paris 13e  Arrondissement,75.0,True,Autre formation,Spécialité : Design de message
Lycée Andre Argouges,Grenoble,38.0,True,Autre formation,"Spécialité : Innovation, corps et mouvement"
Université de Lille,Lille,59.0,False,Licence,Droit international et droits européens
Campus des Comtes de champagne - URCA,Troyes,10.0,False,Licence,Droit
Institut National des Formations Notariales de Montpellier,Montpellier,34.0,True,BTS,Collaborateur juriste notarial
ICL - ESTICE,Lille,59.0,True,Licence,Commerce international et langues
Campus des Comtes de champagne - URCA,Troyes,10.0,False,Licence,Histoire
"Université de Montpellier, Antenne de Perpignan",Perpignan,66.0,False,Licence,"Pluridisciplinarité et métiers de l’enseignement, de l’éducation et de la formation"
Institut Catholique de Toulouse,Toulouse,31.0,False,Licence,Information et communication
Lycée Charles De Gaulle,Chaumont,52.0,True,Autre formation,Spécialité : Signalétiques et scénographies
Lycée Marc Chagall,Reims,51.0,True,Autre formation,Spécialité : Design d'intérieurs
Université Paris Nanterre,Nanterre,92.0,True,Licence,Double licence mention Droit - mention Economie et gestion
Université Paris Nanterre,Nanterre,92.0,True,Licence,"Double licence mention Histoire - mention Langues, littératures et civilisations étrangères et régionales [Anglais]"
Université Paris Nanterre,Nanterre,92.0,True,Licence,"Double Licence mention Langues, littératures et civilisations étrangères et régionales (LLCER) [Anglais] - mention LLCER [Espagnol]"
Université Paris Nanterre,Nanterre,92.0,True,Licence,"Double Licence mention Langues, littératures et civilisations étrangères et régionales (LLCER) [Anglais] - mention LLCER [Italien]"
Université Paris Nanterre,Nanterre,92.0,True,Licence,"Double Licence mention Langues, littératures et civilisations étrangères et régionales (LLCER) Anglais] - mention LLCER [Portugais]"
Lycée professionnel maritime Public,Saint-Malo,35.0,True,BTS,Maintenance des systèmes électro-navals
"3A, l’Ecole de management responsable et solidaire",Lyon 9e  Arrondissement,69.0,True,Ecole de Commerce,Bachelor - Coordination de projets de développement international et sociétal
Lycée Jules Fil,Carcassonne,11.0,True,BTS,Service et prestation des secteurs sanitaire et social
Lycée Polyvalent Germaine Tillion,Castelnaudary,11.0,True,BTS,Bâtiment
Lycée Jacques Ruffié,Limoux,11.0,True,BTS,Gestion de la PME
CPI Pau (ENSGTI),Pau,64.0,True,Ecole d'Ingénieur,Bac Général
ICAM Grand Paris Sud,Lieusaint,77.0,True,Ecole d'Ingénieur,Formation d'ingénieur Bac + 5
I.U.T de Perpignan (Site de Carcassonne),Carcassonne,11.0,True,BUT,Science des données
Lycée Langevin-Wallon,Champigny-sur-Marne,94.0,True,Autre formation,E-Commerce
Lycée Sévigné,Tourcoing,59.0,True,Autre formation,Spécialité : Création - Développement de collection de mode
Lycée Vauban,Brest,29.0,True,BTS,parcours Marine Nationale/Maistrance-Défense
Université Sorbonne Nouvelle Paris 3,Paris 12e  Arrondissement,75.0,False,Licence,Italien
Université de Strasbourg,Strasbourg,67.0,True,Licence,Double maîtrise en droits français et anglais
Université de Strasbourg,Strasbourg,67.0,True,Licence,Double-diplôme franco-italien en droit Université de Strasbourg /Université de Ferrara
Lycée général et technologique Jean Bodin,Les Ponts-de-Cé,49.0,True,BTS,Collaborateur juriste notarial
LP Joseph WRESINSKI - ITEC,Angers,49.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
Institut Catholique de Rennes,Bruz,35.0,True,Licence,Anglophone
Lycée professionnel Val De Seine,Le Grand-Quevilly,76.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
MFREO de Fougères,Fougères,35.0,True,BTS,productions animales
Hetis : Haute école du travail et de l'intervention sociale Nice,Nice,6.0,True,EFTS,D.E Educateur Spécialisé
IRTS de Franche-Comté,Besançon,25.0,True,EFTS,D.E Educateur Technique Spécialisé
I.U.T de Villetaneuse - Université Sorbonne Paris Nord,Villetaneuse,93.0,True,BUT,Science des données
IFME (institut de formations aux métiers éducatifs) de Nîmes,Nîmes,30.0,True,EFTS,D.E Educateur Spécialisé
Lycée professionnel Saint Louis-Saint Bruno,Lyon 1er Arrondissement,69.0,True,Autre formation,secrétariat médical
ITS,Tours,37.0,True,EFTS,D.E Educateur de Jeunes Enfants
Lycée Alexis Monteil,Rodez,12.0,True,BTS,Conception de produits industriels
INST FORM ET RECH. TRAV.SOCIAL I.R.T.S DE LA REUNION,Saint-Benoît,974.0,True,EFTS,D.E Assistant de Service Social
INST FORM ET RECH. TRAV.SOCIAL I.R.T.S DE LA REUNION,Saint-Benoît,974.0,True,EFTS,D.E Educateur de Jeunes Enfants
OCELLIA Echirolles,Echirolles,38.0,True,EFTS,D.E Assistant de Service Social
ARIFTS Association Régionale pour l'Institut de Formation en Travail Social,Rezé,44.0,True,EFTS,D.E Educateur Spécialisé
ARIFTS Association Régionale pour l'Institut de Formation en Travail Social,Rezé,44.0,True,EFTS,D.E Educateur de Jeunes Enfants
ERTS,Olivet,45.0,True,EFTS,D.E Assistant de Service Social
OFTS - Organisme de Formation au Travail Social de Lozère,Marvejols,48.0,True,EFTS,D.E Educateur Spécialisé
Lycée Alexis Monteil,Rodez,12.0,True,BTS,Négociation et digitalisation de la Relation Client
IRTS de Lorraine (Ban-Saint-Martin) et CFA du travail social,Le Ban-Saint-Martin,57.0,True,EFTS,D.E Educateur de Jeunes Enfants
IRFASE,Evry-Courcouronnes,91.0,True,EFTS,D.E Educateur Spécialisé
IRTS POITOU CHARENTES,Poitiers,86.0,True,EFTS,D.E Assistant de Service Social
L.E.G.T.A. Villefranche de Rouergue,Villefranche-de-Rouergue,12.0,True,BTS,Bioqualité
IMF Avignon,Avignon,84.0,True,EFTS,D.E Educateur de Jeunes Enfants
IRTS Île-de-France - Site de Melun,Melun,77.0,True,EFTS,D.E Educateur Spécialisé
ASKORIA - Site de Saint-Brieuc,Saint-Brieuc,22.0,True,EFTS,D.E Educateur Spécialisé
L'EDIAC Formations,Strasbourg,67.0,True,EFTS,D.E Educateur de Jeunes Enfants
IRTS-IDS,Canteleu,76.0,True,EFTS,D.E Assistant de Service Social
Ecole supérieure européenne de l'intervention sociale,Strasbourg,67.0,True,EFTS,D.E Educateur Spécialisé
Site Villefr. de Rouergue du lycée François Marty,Villefranche-de-Rouergue,12.0,True,BTS,Technico-commercial - Spécialité alimentation et boisson
"Ecole Supérieure de Praxis Sociale (Ex-ISSM, Ex-CFEJE)",Mulhouse,68.0,True,EFTS,D.E Educateur Spécialisé
ASKORIA - site de Rennes,Rennes,35.0,True,EFTS,D.E Assistant de Service Social
ASKORIA - site de Rennes,Rennes,35.0,True,EFTS,D.E Educateur Spécialisé
LPO LYCEE DES METIERS BALATA,Matoury,973.0,True,BTS,Management économique de la construction
Lycée Vauban,Brest,29.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée professionnel Estaque (L'),Marseille 16e  Arrondissement,13.0,True,Autre formation,préparation aux concours de la sécurité publique et civile
IRTS HDF - Site Métropole Lilloise,Loos,59.0,True,EFTS,D.E Assistant de Service Social
IFSI CH Paul Guiraud,Villejuif,94.0,True,IFSI,D.E Infirmier
Facultés libres de l'Ouest - UCO ANGERS,Angers,49.0,True,Autre formation,"Gestion internationale, économie et éthique (diplôme valant reconnaissance de niveau Licence)"
Lycée Charles Carnus,Rodez,12.0,True,BTS,Electrotechnique
Lycée de la Montagne,Valdeblore,6.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
Institut de Formation en Soins Infirmiers - CHATEAU-THIERRY,Château-Thierry,2.0,True,IFSI,D.E Infirmier
Lycée professionnel Léon de Lepervanche,Le Port,974.0,True,BTS,Conseil et commercialisation de solutions techniques
Lycée Etienne-Jules Marey,Boulogne-Billancourt,92.0,True,Autre formation,Formation graphisme et communication visuelle
Institut national universitaire Champollion - Campus de Rodez,Rodez,12.0,False,Licence,Affaires et Commerce International
CESI Campus d’Angoulême (La couronne),La Couronne,16.0,True,Ecole d'Ingénieur,"Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués"
CESI Campus de Reims,Reims,51.0,True,Ecole d'Ingénieur,"Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués"
CESI Campus de Saint Nazaire,Saint-Nazaire,44.0,True,Ecole d'Ingénieur,"Cycle Préparatoire Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués"
Lycée de Mirepoix,Mirepoix,9.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
APRADIS - Site Amiens,Amiens,80.0,True,EFTS,D.E Educateur Technique Spécialisé
APRADIS - Site Amiens,Amiens,80.0,True,EFTS,D.E Educateur de Jeunes Enfants
APRADIS - Site Laon,Laon,2.0,True,EFTS,D.E Assistant de Service Social
Lycée professionnel Jean Marie Michotte,Cayenne,973.0,True,Autre formation,Maintenance des installations oléohydrauliques et pneumatiques
Lycée professionnel Jean Marie Michotte,Cayenne,973.0,True,Autre formation,Techn. en énergies renouvelables opt. a énergie électrique
ESSLIL Ecole des Sciences de la Société,Lille,59.0,True,EFTS,D.E Assistant de Service Social
Ecole supérieure d'art et de design TALM-Le Mans,Le Mans,72.0,True,Autre formation,Concours DESIGN
APRADIS - Site Amiens,Amiens,80.0,True,EFTS,D.E Educateur Spécialisé
OCELLIA Valence,Valence,26.0,True,EFTS,D.E Assistant de Service Social
FORM’ACTION – Ecole de Travail Social,Les Abymes,971.0,True,EFTS,D.E Educateur Spécialisé
IFSI CH Avranches-Granville,Granville,50.0,True,IFSI,D.E Infirmier
Lycée Paul Cezanne,Aix-en-Provence,13.0,True,CPGE,MPSI
IFSI CH Falaise,Falaise,14.0,True,IFSI,D.E Infirmier
Lycée Paul Cezanne,Aix-en-Provence,13.0,True,CPGE,PCSI
Lycée Auguste Behal,Lens,62.0,True,BTS,Economie sociale familiale
IFSI du centre hospitalier Princesse Grace,Monaco,99.0,True,IFSI,D.E Infirmier
Lycée Polyvalent Victor Anicet,Saint-Pierre,972.0,True,Autre formation,"Spécialité : Espaces éphémères, espaces pérennes"
Lycée Paul Cezanne,Aix-en-Provence,13.0,True,CPGE,Lettres
Lycée Marcel Cachin,Saint-Ouen-sur-Seine,93.0,True,BTS,Management Commercial Opérationnel
Université d'Amiens,Amiens,80.0,False,Licence,Arts Plastiques
Université d'Amiens,Amiens,80.0,False,Licence,Philosophie
Lycée Paul Verlaine,Rethel,8.0,True,Autre formation,secrétariat médical
Lycée Jean Perrin,Marseille 10e  Arrondissement,13.0,True,Autre formation,Spécialité : Design pour un nouvel artisanat
Lycée professionnel Jean Monnet,La Fère,2.0,True,BTS,Métiers de l'esthétique-cosmétique-parfumerie
LYCEE POLYVALENT SIMONE VEIL,Marseille 13e  Arrondissement,13.0,True,BTS,Métiers des Services à l'environnement
Lycée Les Marcs D'Or,Dijon,21.0,True,BTS,Enveloppe des bâtiments : conception et réalisation
Centre Scolaire Notre Dame,Limas,69.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée des métiers Louis Guilloux,Rennes,35.0,True,BTS,Management en hôtellerie restauration
Lycée Camille Claudel,Blois,41.0,True,Autre formation,"Spécialité : Expérimentations, conception, édition"
Lycée Perier,Marseille  8e  Arrondissement,13.0,True,BTS,Management Commercial Opérationnel
Lycée Hôtelier de l'Orléanais,Olivet,45.0,True,BTS,Management en hôtellerie restauration
Lycée Amelie Zurcher,Wittelsheim,68.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
Lycée professionnel Etienne Dolet,Paris 20e  Arrondissement,75.0,True,Autre formation,Animation-gestion de projets dans le secteur sportif
I.U.T de Sénart/Fontainebleau - Site Sénart - UPEC,Lieusaint,77.0,True,BUT,Génie biologique parcours sciences de l'environnement et écotechnologies
Institut Catholique de Lyon,Lyon 2e  Arrondissement,69.0,True,Licence,Double diplôme licence Droit - Bachelor of Civil Law (bachelor irlandais).
Institut Catholique de Lyon,Lyon 2e  Arrondissement,69.0,True,Licence,"Double diplôme Licence de Droit - DU ""Personnes, Famille, Etat civil"""
Institut Catholique de Lyon,Lyon 2e  Arrondissement,69.0,True,Licence,"Double diplôme Licence de Droit - DU ""Droit du climat et du développement durable""."
Lycée Hotellerie Et Tourisme d'Occitanie,Toulouse,31.0,True,Autre formation,Chef de rang
Lycée Thiers,Marseille  1er Arrondissement,13.0,True,CPGE,BCPST
Lycée Thiers,Marseille  1er Arrondissement,13.0,True,CPGE,B/L - Lettres et sciences sociales
Lycée Thiers,Marseille  1er Arrondissement,13.0,True,Autre formation,Classe préparatoire aux études supérieures - Scientifique
Lycée Victor Hugo,Marseille  3e  Arrondissement,13.0,True,BTS,Services informatiques aux organisations
Lycée professionnel Lino Ventura,Ozoir-la-Ferrière,77.0,True,Autre formation,FCIL classe passerelle BTS
Lycée professionnel Arthur Rimbaud,La Courneuve,93.0,True,Autre formation,FCIL classe passerelle BTS
Lycée Rempart (Rue Du),Marseille  7e  Arrondissement,13.0,True,BTS,Assistance technique d'ingénieur
Lycée Denis Diderot,Marseille 13e  Arrondissement,13.0,True,BTS,Enveloppe des bâtiments : conception et réalisation
Lycée Georges Braque,Argenteuil,95.0,True,Autre formation,FCIL classe passerelle BTS option service
Lycée Melkior Garre,Cayenne,973.0,True,Autre formation,FCIL classe passerelle BTS
Lycée Denis Diderot,Marseille 13e  Arrondissement,13.0,True,BTS,"Fluide, énergie, domotique - option B froid et conditionnement d'air"
Lycée Denis Diderot,Marseille 13e  Arrondissement,13.0,True,BTS,Bâtiment
Institut d'études politiques de Paris - Sciences Po,Paris  7e  Arrondissement,75.0,True,Autre formation,"Campus de Paris, Bachelor de Sciences Po"
Lycée du Diadème - Te tara o mai'ao,Pirae,987.0,True,BTS,Bâtiment
Lycée du Diadème - Te tara o mai'ao,Pirae,987.0,True,Autre formation,Diplôme de Comptabilité et de Gestion
Lycée du Diadème - Te tara o mai'ao,Pirae,987.0,True,BTS,Comptabilité et gestion
Lycée du Diadème - Te tara o mai'ao,Pirae,987.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée du Diadème - Te tara o mai'ao,Pirae,987.0,True,BTS,Service et prestation des secteurs sanitaire et social
Université Paris-Dauphine,Paris 16e  Arrondissement,75.0,True,Autre formation,Sciences des Organisations - Programme franco-allemand
Sciences Po Saint-Germain-en-Laye – Institut d'études politiques,Saint-Germain-en-Laye,78.0,True,Autre formation,Cursus général
Sciences Po Aix – Institut d'études politiques,Aix-en-Provence,13.0,True,Autre formation,Double diplôme Franco-Allemand
EFREI Paris,Villejuif,94.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
Lycée Marie Curie,Marseille  5e  Arrondissement,13.0,True,BTS,Comptabilité et gestion
BSB,Dijon,21.0,True,Ecole de Commerce,Bachelor
Ecole d'ingénieurs de PURPAN,Toulouse,31.0,True,Ecole d'Ingénieur,Voie d'accès bac technologique
Sciences Po Bordeaux - Institut d'études politiques,Pessac,33.0,True,Autre formation,Filière intégrée France-Allemagne (FIFA)
Sciences Po Bordeaux - Institut d'études politiques,Pessac,33.0,True,Autre formation,Filière intégrée France-Portugal (FIFPO)
ISEP Paris,Paris  6e  Arrondissement,75.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
Lycée Jean Perrin,Marseille 10e  Arrondissement,13.0,True,BTS,Conception de produits industriels
Lycée Jean Perrin,Marseille 10e  Arrondissement,13.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
IESEG School of Management - Paris La Défense,Nanterre,92.0,True,Ecole de Commerce,Programme Grande Ecole
INSTITUT DE FORMATION EN ERGOTHERAPIE DE NEVERS,Nevers,58.0,True,IFSI,D.E Ergothérapeute
Lycée professionnel Le Verger,Châtellerault,86.0,True,BTS,Maintenance des systèmes - option A Systèmes de production
Lycée Jean Perrin,Marseille 10e  Arrondissement,13.0,True,BTS,Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production
ISG Paris,Paris 16e  Arrondissement,75.0,True,Ecole de Commerce,Bachelor en Management International - French Track
Institut de formation en Pédicurie-Podologie de Rennes - Association IFPEK,Rennes,35.0,True,IFSI,D.E Pédicure-Podologue
Lycée Jean Perrin,Marseille 10e  Arrondissement,13.0,True,BTS,Conception et réalisation en chaudronnerie industrielle
Institut de Formation de Psychomotriciens Raymond Leclercq,Loos,59.0,True,IFSI,D.E Psychomotricien
Toulouse Business School,Quint-Fonsegrives,31.0,True,Ecole de Commerce,Bachelor en Management
Ecole de management de Normandie - Campus de Paris Clichy,Clichy,92.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 5
IPAG Business School - Campus de Nice,Nice,6.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 5
Lycée des métiers Rene Caillie,Marseille 11e  Arrondissement,13.0,True,BTS,Métiers du géomètre-topographe et de la modélisation numérique
NEOMA Business School - Campus de Reims,Reims,51.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 4
NEOMA Business School - Campus de Rouen,Mont-Saint-Aignan,76.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 4
NEOMA Business School - Campus de Reims,Reims,51.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 5
South Champagne Business School Troyes (YSchools),Troyes,10.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 4
Ecole supérieure d'art et de design d'Amiens Métropole,Amiens,80.0,True,Autre formation,"option design, mention design graphique"
Lycée Paul Langevin,Martigues,13.0,True,BTS,Gestion de la PME
Ecole supérieure d'art Pays Basque,Bayonne,64.0,True,Autre formation,Diplôme National d'Art
Ecole européenne supérieure de l'image d'Angoulême,Angoulême,16.0,True,Autre formation,Diplôme National d'Art
ECOLE NATIONALE SUPERIEURE DES BEAUX-ARTS DE LYON,Lyon 1er Arrondissement,69.0,True,Autre formation,Diplôme National d'Art
MONTPELLIER CONTEMPORAIN Ecole Supérieure des Beaux -Arts,Montpellier,34.0,True,Autre formation,Diplôme National d'Art
Ecole nationale supérieure des Beaux-Arts de Paris,Paris  6e  Arrondissement,75.0,True,Autre formation,Diplôme 1er Cycle ENSBA
École supérieure d art et de design Toulon Provence Méditerranée,Toulon,83.0,True,Autre formation,Diplôme National d'Art
Lycée Adam De Craponne,Salon-de-Provence,13.0,True,BTS,Support à l'action managériale
ECOLE DE MANAGEMENT DE LYON,Lyon 7e  Arrondissement,69.0,True,Ecole de Commerce,Formation des écoles de commerce et de management Bac + 4
IFRES d'Alençon,Alençon,61.0,True,IFSI,D.E Psychomotricien
KEDGE BUSINESS SCHOOL - Site de Bayonne,Bayonne,64.0,True,Ecole de Commerce,KEDGE Bachelor
Ecole Supérieure d'art et de design de Grenoble Valence,Grenoble,38.0,True,Autre formation,Option Art
Lycée Notre Dame De Sion,Marseille  6e  Arrondissement,13.0,True,CPGE,MPSI
Sorbonne université,Paris  6e  Arrondissement,75.0,True,IFSI,D.E Psychomotricien
Haute école des arts du Rhin - Site d'arts plastiques de Mulhouse,Mulhouse,68.0,True,Autre formation,Diplôme National d'Art
Université de Bordeaux - Bordeaux Métropole,Talence,33.0,False,Licence,Université de Bordeaux - Bordeaux Métropole
Université Polytechnique Hauts-de-France,Aulnoy-lez-Valenciennes,59.0,False,Licence,Economie
Université de Bordeaux - Bordeaux Métropole,Talence,33.0,True,Licence,International
Lycée Maximilien de Sully,Marseille  6e  Arrondissement,13.0,True,BTS,Gestion des transports et logistique associée
Université de La Réunion - Saint Denis,Saint-Denis,974.0,False,Licence,Physique
Université de La Réunion - Saint Denis,Saint-Denis,974.0,False,Licence,Sciences de la vie
Aix-Marseille Université - Site d'Aix-en-Provence,Aix-en-Provence,13.0,True,Licence,LEA Double Diplôme Franco-Allemand en partenariat avec l'université de Duisburg/Essen
Université de Rouen Normandie - Campus Mont-Saint-Aignan,Mont-Saint-Aignan,76.0,False,Licence,Psychologie
Université Polytechnique Hauts-de-France,Aulnoy-lez-Valenciennes,59.0,False,Licence,Histoire et Géographie
Université Polytechnique Hauts-de-France - Site de CAMBRAI,Cambrai,59.0,False,Licence,Histoire Archéologie Patrimoine Environnement
ESRA - Nice,Nice,6.0,True,Autre formation,Etudes Supérieures en Réalisation Audiovisuelle
Lycée Charles Peguy,Marseille  6e  Arrondissement,13.0,True,Autre formation,Diplôme de Comptabilité et de Gestion
ESRA - Paris,Paris 15e  Arrondissement,75.0,True,Autre formation,Etudes Supérieures des Techniques du Son
Lycée Assomption,Bondy,93.0,True,Autre formation,parcours matériaux
Institut de formation en Ergothérapie du Centre Hospitalier Intercommunal de Meulan-Les Mureaux,Les Mureaux,78.0,True,IFSI,D.E Ergothérapeute
EPF Montpellier,Montpellier,34.0,True,Ecole d'Ingénieur,Bachelor Ingénierie énergétique et environnement
EPF Paris-Cachan,Cachan,94.0,True,Ecole d'Ingénieur,Bachelor Ingénierie systèmes d’information et stratégie marketing
Lycée professionnel agricole de COCONI,Ouangani,976.0,True,BTS,"Développement, animation des territoires ruraux"
Lycée Pastré - Grande Bastide,Marseille  9e  Arrondissement,13.0,True,BTS,Economie sociale familiale
Université de la Réunion - Le Tampon,Le Tampon,974.0,False,Licence,: Université de la Réunion - Le Tampon
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER ALLEMAND NON DEBUTANT : TRADUCTION FRANCO-ALLEMANDE
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER ALLEMAND DEBUTANT
Lycée professionnel Jules Antonini,Ajaccio,,True,BTS,Maintenance des systèmes - option B Systèmes énergétiques et fluidiques
Lycée Frederic Joliot-Curie,Aubagne,13.0,True,BTS,Management Commercial Opérationnel
Université de Rennes 2,Rennes,35.0,False,Licence,Anglais
Université de Rennes 2,Rennes,35.0,False,Licence,Breton
Université de Rennes 2,Rennes,35.0,False,Licence,Psychologie
Université de Poitiers,Poitiers,86.0,False,Licence,Espagnol
"Centre de Ressources, d’Expertise et de Performance Sportive d’Auvergne Rhône-Alpes Vallon-Pont-d'Arc (CREPS)",Vallon-Pont-d'Arc,7.0,True,Autre formation,Spécialité Educateur sportif - Mention Canoë-Kayak en eau vive
Université Grenoble Alpes,Saint-Martin-d'Hères,38.0,False,Licence,Double Licence : Lettres modernes - Histoire de l'Art et Archéologie
Université Clermont Auvergne,Clermont-Ferrand,63.0,False,PASS,Parcours d'Accès Spécifique Santé (PASS)
Lycée Jeanne Perrimond,Marseille  7e  Arrondissement,13.0,True,BTS,Gestion de la PME
Université Clermont Auvergne,Clermont-Ferrand,63.0,False,Licence_Las,Histoire Philosophie Lettres
"Centre de Ressources, d'Expertise et de Performance Sportive PACA - site de Boulouris (CREPS)",Saint-Raphaël,83.0,True,Autre formation,Spécialité Educateur sportif - Mention Activités physiques pour tous
Université Paris Nanterre,Nanterre,92.0,False,Licence,"Lettres, écriture et culture numériques"
Université de Rennes (EPE),Rennes,35.0,False,Licence_Las,"Physique, Chimie, Sciences de la Terre et Mécanique (PCSTM)"
Université de Rouen Normandie - Campus Evreux,Evreux,27.0,False,Licence_Las,Licence Sciences de la vie
Ecole danhier de pédicurie-podologie,Saint-Ouen-sur-Seine,93.0,True,IFSI,D.E Pédicure-Podologue
Université des Antilles - Pôle Martinique,Schoelcher,972.0,False,PASS,Parcours d'Accès Spécifique Santé (PASS)
Université de Bordeaux - Bordeaux Métropole,Talence,33.0,False,PASS,Parcours d'Accès Spécifique Santé (PASS)
ESAA Boulle,Paris 12e  Arrondissement,75.0,True,Autre formation,Spécialité : Ebénisterie (Créateur-concepteur - ameublement d’exception)
Université de Bordeaux - Bordeaux Métropole,Talence,33.0,False,PASS,Parcours d'Accès Spécifique Santé (PASS)
Le Mans Université,Le Mans,72.0,False,Licence_Las,Portail Economie-Gestion
Le Mans Université,Le Mans,72.0,False,Licence_Las,Géographie et aménagement
Le Mans Université,Le Mans,72.0,False,Licence_Las,LLCER allemand (parcours études européennes inclus)
Université des Antilles - Pôle Martinique,Schoelcher,972.0,False,Licence_Las,Science Politique - Martinique
Université Toulouse 3 Paul Sabatier,Toulouse,31.0,False,Licence_Las,Sciences de la vie
Polytech Clermont,Aubière,63.0,True,Ecole d'Ingénieur,Bac général
Lycée professionnel De L'Atlantique,Royan,17.0,True,BTS,Management économique de la construction
IUT Aix-Marseille - Site d'Aix-En-Provence,Aix-en-Provence,13.0,True,BUT,Informatique
Université d'Evry Val d'Essonne,Evry-Courcouronnes,91.0,False,Licence,Mathématiques-Physique
Université d'Evry Val d'Essonne,Evry-Courcouronnes,91.0,False,Licence,Sciences de la vie-Chimie
Université Claude Bernard Lyon 1,Villeurbanne,69.0,False,Licence,Sciences pour la santé
Université Claude Bernard Lyon 1,Villeurbanne,69.0,True,Licence,Physique
Université Claude Bernard Lyon 1,Villeurbanne,69.0,False,Licence_Las,Biosciences et Géosciences
Lycée CAUCADIS,Vitrolles,13.0,True,BTS,Gestion des transports et logistique associée
IUT Aix-Marseille - Site d'Aix-En-Provence,Aix-en-Provence,13.0,True,BUT,Carrières sociales parcours villes et territoires durables
Université Gustave Eiffel,Champs-sur-Marne,77.0,True,Licence,"Mathématiques, physique-chimie"
Unité de Formation et de Recherche de Sciences de l' Université de Versailles Saint Quentin en Yvelines,Versailles,78.0,False,Licence_Las,Portail BI : Biologie - Informatique
IUT Aix-Marseille - Site de Marseille St Jérôme,Marseille 13e  Arrondissement,13.0,True,BUT,Chimie
IUT Aix-Marseille - Site de Marseille St Jérôme,Marseille 13e  Arrondissement,13.0,True,BUT,Génie chimique génie des procédés
"Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS)",Châtenay-Malabry,92.0,True,Autre formation,Spécialité Educateur sportif - Mention Activités aquatiques et de la natation
"Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS)",Châtenay-Malabry,92.0,True,Autre formation,Spécialité Educateur sportif - Mention Activités aquatiques et de la natation
IUT Aix-Marseille - Site de Marseille St Jérôme,Marseille 13e  Arrondissement,13.0,True,BUT,Métiers de la Transition et de l'Efficacité Énergétiques
Université de Limoges,Limoges,87.0,False,Licence_Las,Parcours Sciences Exactes et Appliquées
Université Sorbonne Paris Nord - Antenne de Bobigny,Bobigny,93.0,True,Autre formation,Métiers du Sanitaire et Médico-Sociaux
Université Paris Nanterre,Nanterre,92.0,False,Licence_Las,Sciences et Techniques des Activités Physiques et Sportives
Université Paris Nanterre,Nanterre,92.0,True,Licence,Double Licence mention Economie et gestion [Gestion] - mention MIASHS [Informatique]
Aix-Marseille Université - Site d'Aix-en-Provence,Aix-en-Provence,13.0,False,Licence,LLCER Allemand
Université Angers,Angers,49.0,False,Licence_Las,Géographie et aménagement
Aix-Marseille Université - Site d'Aix-en-Provence,Aix-en-Provence,13.0,False,Licence,LLCER Espagnol
