Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
Lycée La Trinite,Béziers,34.0,True,BTS,Gestion de la PME
L'ECOLE BY CCI HAUTE-SAVOIE - ANNECY,Annecy,74.0,True,Autre formation,DÉVELOPPER LA CRÉATION INTERACTIVE
ESEO Dijon,Dijon,21.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
ESEO Paris - Vélizy,Vélizy-Villacoublay,78.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
EFCAM Centre,Riom,63.0,True,BTS,Métiers de l'audio-visuel opt : métiers du son
CFA de la CCI du Maine et Loire - Centre P. Cointreau - site Angers,Angers,49.0,False,Licence,Food and Beverage
Lycée Polyvalent Gabriel Touchard - Washington,Le Mans,72.0,True,BTS,Prothésiste dentaire
SKEMA Business School - Campus de Lille,Lille,59.0,True,Ecole de Commerce,Bachelor en Management et Sciences de l'Ingénieur cursus anglophone
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,AES
ECOLE CENTRALE LYON,Ecully,69.0,True,Ecole d'Ingénieur,Bachelor Data science for responsible business
Lycée Blaise Pascal,Longuenesse,62.0,True,BTS,Métiers de l'eau
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,Philosophie
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,Allemand
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,Occitan
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,Anglais-Grec moderne
Lycée professionnel Frederic Mistral,Nîmes,30.0,True,Autre formation,Aéronautique option avionique
Lycée Jean Mermoz,Montpellier,34.0,True,BTS,Opticien-Lunetier
Lycée Jean-Francois Champollion,Lattes,34.0,True,BTS,Métiers de l'audio-visuel opt : gestion de la production
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,Anglais-Portugais
Université Paul Valery - Montpellier 3,Montpellier,34.0,False,Licence,Lettres classiques
Lycée Privé Agricole Vallée de l'Hérault,Gignac,34.0,True,BTS,"Métiers du Végétal : Alimentation, Ornement, Environnement"
Lycée Privé Agricole Vallée de l'Hérault,Gignac,34.0,True,BTS,Aménagements paysagers
Lycée La Boisse,La Boisse,1.0,True,Autre formation,Cybersécurité
ECM Ecole de commerce et management,Besançon,25.0,False,Licence,Gestion des organisations
ECM Ecole de commerce et management,Besançon,25.0,False,Licence,Gestion des Ressources Humaines
ECM,Dijon,21.0,False,Licence,Gestion des organisations
I.U.T de Béziers,Béziers,34.0,True,BUT,Métiers du multimédia et de l'internet
I.U.T de Montpellier-Sète - site de Sète - campus Poule d'Eau,Sète,34.0,True,BUT,Chimie
Lycée Georges Pompidou,Castelnau-le-Lez,34.0,True,BTS,Support à l'action managériale
IUT 1 GRENOBLE,Saint-Martin-d'Hères,38.0,True,Ecole d'Ingénieur,bac STL
Lycée des Métiers - Paul Mathou,Gourdan-Polignan,31.0,True,Autre formation,"Conseils, Installations et maintenance des motorisations électriques à haute efficacité énergétique"
Lycée Joseph Storck (Hotelier),Guebwiller,68.0,True,Autre formation,Hôtellerie restauration
Lycée professionnel Du Rebberg,Mulhouse,68.0,True,Autre formation,SPA Praticien(ne)
Lycée Bréquigny,Rennes,35.0,True,BTS,Service et prestation des secteurs sanitaire et social
Lycée Lamartine,Paris  9e  Arrondissement,75.0,True,CPGE,Lettres
Lycée Jacques Decour,Paris  9e  Arrondissement,75.0,True,CPGE,ECG - Mathématiques appliquées + HGG
Lycée professionnel Lavoisier,Méru,60.0,True,Autre formation,Services numériques aux organisations
Lycée Joliot-Curie,Rennes,35.0,True,CPGE,PTSI
AIS - ECOLE SUPERIEURE DE L'AUDIOVISUEL - ATELIERS DE L'IMAGE ET DU SON,Marseille  8e  Arrondissement,13.0,True,BTS,Métiers de l'audio-visuel opt : métiers du son
Lycée LES CHASSAGNES,Oullins,69.0,True,BTS,Tourisme
Lycée Pierre Mendes France,Rennes,35.0,True,BTS,Systèmes constructifs bois et habitat
